代码,名称,总市值
3,PT金田A,5.2
4,*ST国华,3.49
5,ST星源,8.78
6,深振业Ａ,141.07
7,全新好,51.45
8,神州高铁,74.97
10,*ST美丽,23.7
11,深物业A,43.75
12,南  玻Ａ,76.41
13,*ST石化A,1.27
14,沙河股份,31.47
15,PT中浩A,1.8
16,*ST康佳A,50.93
17,深中华A,27.24
18,神城A退,2.69
19,深粮控股,30.26
20,深华发Ａ,25.54
23,*ST深天,2.38
25,特  力Ａ,62.84
26,飞亚达,74.77
28,国药一致,117.79
30,富奥股份,82.71
31,大悦城,133.3
33,新都退,7.31
35,中国天楹,149.65
36,华联控股,86.56
37,深南电A,39.65
38,大通退,1.3
40,*ST旭蓝,5.17
42,中洲控股,68.07
45,深纺织Ａ,56.17
46,*ST泛海,19.66
47,ST中侨,2.64
48,京基智农,78.78
49,德赛电池,107.44
55,方大集团,24.94
56,*ST皇庭,15.27
58,深 赛 格,82.03
59,华锦股份,82.21
61,农 产 品,128.83
65,北方国际,126.55
68,华控赛格,33.62
78,ST海王,64.58
88,盐 田 港,145.18
89,深圳机场,141.3
90,天健集团,66.89
96,广聚能源,47.66
99,中信海直,135.91
150,*ST宜康,4.11
151,中成股份,37.01
153,丰原药业,29.18
156,华数传媒,126.98
159,国际实业,30.09
401,金隅冀东,112.89
402,金 融 街,96.83
403,派林生物,110.81
404,长虹华意,57.84
405,ST鑫光,3.23
406,石油大明,26.9
407,胜利股份,39.76
409,云鼎科技,59.4
410,沈阳机床,120.43
411,英特集团,64.94
412,ST五环,3.07
413,ST旭电,18.61
416,*ST民控,2.39
417,合百集团,55.7
419,通程控股,30.6
420,吉林化纤,133.47
421,南京公用,35.61
428,华天酒店,38.31
430,ST张家界,29.09
488,ST晨鸣,40.83
498,山东路桥,80.0
501,武商集团,62.46
502,绿景退,1.08
503,国新健康,75.99
504,*ST生物,30.54
505,京粮控股,43.76
507,珠海港,47.19
508,琼民源A,44.03
509,华塑控股,41.64
510,新金路,101.0
511,烯碳退,7.04
514,渝 开 发,42.95
515,攀渝钛业,17.51
516,国际医学,100.28
517,荣安地产,51.83
518,*ST四环,31.5
520,凤凰航运,40.89
521,长虹美菱,50.06
522,白云山A,109.15
523,红棉股份,43.86
524,岭南控股,65.66
525,红太阳,60.04
526,学大教育,41.39
529,广弘控股,31.4
530,冰山冷热,36.37
531,穗恒运Ａ,66.87
532,华金资本,42.57
533,顺钠股份,91.98
535,*ST猴王,0.85
536,华映科技,111.63
540,*ST中天,27.89
541,佛山照明,69.03
542,TCL通讯,22.26
544,中原环保,82.36
545,金浦钛业,29.56
546,金圆股份,51.49
548,湖南投资,25.76
549,S湘火炬,55.09
550,江铃汽车,97.0
551,创元科技,82.76
552,甘肃能化,104.7
554,泰山石油,28.36
555,神州信息,138.98
556,PT南洋,1.76
557,西部创业,67.21
558,天府文旅,52.19
560,我爱我家,77.87
561,烽火电子,75.37
565,渝三峡Ａ,34.77
566,海南海药,63.41
567,海德股份,128.99
569,长城股份,24.77
570,苏常柴Ａ,37.18
571,新大洲A,41.92
572,海马汽车,87.7
573,粤宏远Ａ,29.56
576,甘化科工,37.96
578,盐湖集团,62.09
583,S*ST托普,0.99
584,工智退,2.2
585,东电退,2.13
586,汇源通信,36.69
587,*ST金洲,8.73
588,PT粤金曼,2.71
589,贵州轮胎,76.62
590,古汉医药,25.85
593,德龙汇能,81.02
594,国恒退,19.27
595,*ST宝实,79.02
597,东北制药,70.18
599,青岛双星,47.53
600,建投能源,108.9
601,韶能股份,84.91
602,金马集团,28.01
605,渤海股份,25.32
606,顺利退,2.14
607,华媒控股,36.11
608,*ST阳光,29.3
609,*ST中迪,42.87
610,*ST西旅,18.39
611,天首退,4.44
613,东海A退,1.55
615,*ST美谷,32.75
616,*ST海投,12.16
618,吉林化工,10.48
619,海螺新材,22.07
620,盈新发展,144.36
621,*ST比特,1.48
622,恒立退,0.64
626,远大控股,45.59
627,*ST天茂,71.35
628,高新发展,118.23
631,顺发恒能,77.51
632,ST三木,18.62
633,合金投资,25.15
635,英 力 特,29.42
637,茂化实华,17.35
638,*ST万方,2.77
639,ST西王,17.81
650,仁和药业,75.76
652,泰达股份,63.25
653,ST九州,5.45
655,金岭矿业,48.22
656,*ST金科,105.13
658,ST海洋,4.23
659,珠海中富,53.87
660,*ST南华,0.93
662,天夏退,2.73
663,永安林业,20.8
665,湖北广电,54.35
666,经纬纺机,26.33
667,ST美置,14.15
668,*ST荣控,26.87
